Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
pl,bystrzyca klodzka,50.298252000000005,16.653029,24.35,92,80,2.37
ph,lapuyan,7.6379,123.1944,81.36,95,44,3.38
lt,palanga,55.9175,21.068611100000002,8.1,52,32,3.94
ro,tisau,45.166667,26.516666999999998,17.55,74,20,2.37
cn,chengzihe,45.333333,131.066667,0.59,51,0,12.44
th,krabi,8.072574000000001,98.910516,80.67,88,20,5.82
in,gola bazar,26.343056,83.355278,55.08,85,0,3.15
hn,la masica,15.616666699999998,-87.1166667,71.6,94,75,1.7
cz,plzen,49.75,13.366667000000001,34.59,100,90,2.37
ro,magura ilvei,47.383333,24.8,20.07,89,64,1.92
it,ruffano,39.983333,18.25,44.42,93,40,3.36
in,sidhpura,27.633333,78.883333,51.21,86,0,2.71
de,pegnitz,49.756389,11.545,37.4,100,90,4.05
ca,mont-joli,48.583333,-68.18333299999999,-5.75,77,5,10.29
br,rondonopolis,-16.466667,-54.63333299999999,71.51,97,12,2.71
in,gulaothi,28.6,77.783333,48.2,100,90,4.7
mt,marsaxlokk,35.841944,14.543056,55.4,62,75,5.82
us,lexington-fayette,38.0497222,-84.45861109999998,46.99,36,1,12.75
us,steubenville,40.3697222,-80.63416670000001,40.98,36,1,10.29
ru,yarkovo,54.8056,82.5989,-29.21,73,0,4.47
al,bulqize,41.4916667,20.221944399999998,28.4,86,0,4.7
de,harsum,52.216667,9.966667,40.55,86,75,5.82
ws,taga,-13.766666699999998,-172.4666667,39.2,51,40,11.41
us,moses lake,47.1302778,-119.27694440000002,39.13,65,90,9.17
ph,malaiba,10.333333,123.316667,82.76,91,48,7.18
ru,kyzyl,51.7,94.45,-45.41,0,20,2.48
fr,le portel,50.705587,1.5757450000000002,34.16,93,90,2.24
us,portland,43.6613889,-70.25583329999999,44.37,81,90,6.93
in,bilsanda,28.25,79.95,49.68,89,0,3.15
do,santiago,19.45,-70.7,66.2,52,0,8.05
br,batatais,-20.883333,-47.616667,73.4,88,0,5.82
ro,floresti,45.05,25.783333,5.67,92,36,6.17
it,monsummano terme,43.866667,10.816667,42.82,93,75,1.12
de,oberasbach,49.433333000000005,10.95,39.56,93,75,4.7
ru,povarovo,56.066667,37.05,17.47,79,0,11.18
co,elias,2.0116959999999997,-75.939685,67.1,91,56,12.66
dk,hundested,55.966667,11.866667,39.2,93,68,8.05
bg,vraca,43.21,23.5625,24.8,100,20,3.15
jp,ono,35.983333,136.48333300000002,35.6,51,75,17.22
cz,stara ves nad ondrejnici,49.726075,18.19404,29.97,80,75,2.24
ru,sherbakul,54.631585,72.39635200000001,-22.73,35,20,2.93
de,wolfen,51.666667,12.283333,41,100,90,3.36
in,mahbubabad,17.616667,80.016667,66.56,62,0,2.48
in,ambagarh chauki,20.783333,80.716667,56.84,49,0,7.63
ph,salcedo,12.810516,121.46741499999999,69.8,100,75,3.71
ru,zhitnevo,55.342327000000004,37.914637,15.8,85,40,8.95
ca,picton,44.016667,-77.15,71.6,83,32,12.75
am,nor gyukh,40.2666667,44.656388899999996,33.8,87,90,2.15
id,weru,-6.711,108.5037,58.64,89,0,2.04
ru,verkhnebakanskiy,44.842789,37.664118,24.8,92,0,22.37
mx,zacatepec,16.766667,-97.983333,49.86,94,88,1.36
it,poggibonsi,43.466667,11.15,51.21,93,75,1.12
co,el carmen,5.887778,-75.164167,67.84,100,75,3.36
ph,guinayangan,13.8971,122.454,80.6,94,88,5.06
no,hoyanger,61.216667,6.0833330000000005,33.8,97,0,12.75
sn,fatick,14.333333300000001,-16.4166667,70.7,26,56,2.24
jp,noboribetsu,42.451389,141.173056,26.6,73,75,16.11
lv,kraslava,55.9,27.1666667,29.75,96,92,11.65
lv,preili,56.3,26.7166667,30.33,97,88,11.1
jp,kadoma,34.733333,135.583333,65.75,71,0,9.64
ro,vaideeni,45.166667,23.933332999999998,14,92,0,1.48
de,bergneustadt,51.033333,7.65,39.88,100,90,3.36
ro,sauca,47.466667,22.483333,6.21,80,24,6.51
ba,maslovare,44.5655556,17.5336111,30.2,92,12,3.36
tr,alaca,40.168333000000004,34.8425,6.71,78,32,2.59
ro,cuza voda,44.266667,27.266666999999998,8.51,67,0,2.93
hn,san antonio,14.433333300000001,-88.58333329999999,55.4,87,0,5.82
br,itatinga,-23.116667,-48.6,70.25,83,36,11.1
ru,derbent,42.067795000000004,48.289874,27.68,92,92,1.7
ro,palanca,46.533333,26.116667,20.28,92,20,2.24
br,nova lima,-19.983333,-43.85,77.38,50,0,5.82
et,dilla,6.4166669999999995,38.316666999999995,45,68,0,2.48
si,ilirska bistrica,45.5697222,14.240833300000002,40.01,93,92,4.7
gr,ayia paraskevi,39.2480556,26.2716667,35.6,74,20,3.36
gt,san antonio suchitepequez,14.533332999999999,-91.416667,71.55,55,0,1.92
in,kankipadu,16.45,80.783333,71.6,83,0,4.5
vu,lakatoro,-16.1166667,167.41666669999998,82.71,88,92,4.38
lu,steinsel,49.6769444,6.1238889,31.68,100,0,4.7
nl,brunssum,50.95,5.966667,38.73,100,75,3.36
ru,prochnookopskaya,45.0666,41.1175,20.7,80,44,15.68
ph,maribojoc,9.7417,123.8446,86,70,40,6.93
it,alpignano,45.1,7.516667,37.58,86,90,8.05
gh,tafo,6.7333333,-1.6166667,74.66,66,0,6.62
mw,nkhata bay,-11.6,34.3,68.09,100,80,2.48
in,kodinar,20.790278,70.703056,51.57,72,0,3.15
us,russellville,35.2783333,-93.1336111,55.4,66,90,5.82
in,jabalpur,23.166667,79.95,50.18,60,0,2.59
in,hirakud,21.516667,83.866667,60.53,71,0,5.95
in,bilimora,20.75,72.95,58.1,68,0,3.6
cz,hradec kralove,50.207744,15.829455,32,91,90,2.24
ca,chestermere,51.03,-113.83,7.56,72,40,9.17
mt,msida,35.8925,14.482778,55.4,62,75,5.82
gh,akim swedru,5.9,-1.0166667,68.85,87,0,2.71
il,jerusalem,31.78,35.23,46.4,93,20,6.93
ua,tatarbunary,45.837308,29.614243,16.11,80,44,4.5
gb,bebington,53.35,-3.016667,40.93,87,75,10.29
ua,reni,45.457273,28.293171,21.2,100,12,4.7
my,kuala pilah,2.7389,102.2487,82.08,74,75,2.24
us,islip,40.7297222,-73.2108333,29.52,79,20,8.52
es,beasain,43.05,-2.183333,43.74,87,92,2.24
ru,starobaltachevo,56.00131700000001,55.921310999999996,-0.77,69,0,12.1
gb,widnes,53.35,-2.733333,40.96,87,75,10.29
us,waynesboro,38.0683333,-78.88972220000001,51.31,34,90,6.93
hu,jaszszentandras,47.583333,20.183332999999998,32,100,0,4.7
mx,acambaro,20.033333,-100.733333,59,62,75,2.93
ph,hondagua,13.9455,122.2417,80.6,94,88,5.06
ru,magdagachi,53.45,125.8,-9.9,50,0,5.61
fr,aulnoye-aymeries,50.201412,3.838439,38.28,93,75,3.36
in,banjar,31.633333,77.35,84.78,69,24,4.61
th,long,18.076056,99.83255600000001,66.83,100,100,3.6
tz,magole,-6.366666700000001,37.3666667,68.36,99,92,3.15
us,washington,40.7036111,-89.4072222,32.32,74,75,5.82
md,cahul,45.9075,28.194444,7.11,86,36,3.04
ro,jorasti,45.983333,27.866667,14.81,94,76,4.16
us,framingham,42.279166700000005,-71.41666670000001,25.36,53,1,6.93
ru,krasnoyarskaya,47.4955,42.1856,15.53,93,56,12.66
ph,san vicente,13.8203,122.22200000000001,80.6,60,0,6.93
pe,tacna,-18.0055556,-70.2483333,68.97,72,90,3.36
in,santoshpur,22.525278,88.265,59,77,0,9.17
ua,komyshuvakha,47.717578,35.528816,9.63,84,36,9.19
ph,inangatan,11.25,124.4,82.98,94,12,9.64
mx,ixhuatan,16.356944,-94.4825,78.3,66,0,16.69
be,wuustwezel,51.383333,4.6,38.71,75,32,4.7
cn,honggang,46.466667,124.86666699999999,30.38,84,100,3.04
de,essenbach,48.616667,12.216667,38.17,93,92,2.24
pt,terrugem,38.706474,-9.286928999999999,34.92,85,0,8.19
ci,bocanda,7.062635,-4.499484,76.86,74,32,9.19
fi,uusikaupunki,60.8,21.416667,35.6,100,88,3.36
in,khanna,30.704444,76.223056,41.45,77,0,3.6
ge,tsalenjikha,42.6044444,42.0772222,32,80,20,3.36
in,bhigvan,18.316667000000002,74.766667,55.08,57,0,2.71
ph,san guillermo,16.7254,121.8098,71.24,100,92,7.63
ru,khandyga,62.666667000000004,135.6,-38.48,78,68,3.49
it,boscoreale,40.783333,14.466667000000001,43.81,86,32,2.24
us,wenatchee,47.4236111,-120.30916670000002,33.96,92,75,4.7
br,cerquilho,-23.201218,-47.757822,71.6,73,75,14.99
ru,kurilsk,45.233333,147.883333,22.19,100,56,17.81
sk,myjava,48.75,17.5666667,34.81,98,92,2.71
ro,dobarlau,45.733333,25.883333,7.83,75,0,1.59
ar,rio tercero,-32.173008,-64.11405500000001,65.61,93,44,5.39
gm,kerewan,13.489444400000002,-16.0911111,71.6,28,48,6.93
jp,kani,35.404346000000004,137.05595,39.2,51,40,11.41
in,ramganj mandi,24.65,75.93333299999999,48.15,69,0,2.71
br,serra,-20.116667,-40.3,78.8,83,20,4.7
ie,sallins,53.2488889,-6.666111099999999,46.4,87,75,19.46
us,apex,35.7325,-78.85055559999999,40.32,39,75,8.05
in,sagar,23.833333,78.716667,50.22,59,0,2.71
de,bad bevensen,53.083332999999996,10.583333,39.2,93,75,3.36
in,chikitigarh,19.2,84.616667,69.03,65,0,4.61
gt,san pedro sacatepequez,14.684167,-90.64416700000001,60.8,87,75,18.34
ru,lovozero,68.006377,35.015892,16.56,99,48,2.71
ru,shablykino,52.856607,35.19637,12.2,87,80,11.1
us,oak lawn,41.7108333,-87.75805559999999,48.92,53,90,27.51
ru,yazykovo,54.2922,47.3891,1.31,72,0,10.09
us,lebanon,43.3944444,-70.8513889,15.85,85,1,3.94
br,lagoa nova,-6.1,-36.483333,72.5,86,56,5.95
ro,zavoaia,44.933333000000005,27.533333000000002,9.72,92,32,2.93
pt,senhora da hora,41.186405,-8.651721,44.01,93,0,4.7
mx,ajacuba,20.0875,-99.1125,43.43,93,20,2.48
jp,niiza,35.797915,139.52539099999998,42.39,23,1,12.75
in,uklana mandi,29.516666999999998,75.866667,45.9,84,0,0.47
gr,grammatikou,38.533333299999995,21.5,35.6,93,0,4.16
de,memmingen,47.983333,10.166667,39.81,93,75,3.36
ru,lesnyye polyany,55.966667,37.866667,16.93,79,0,11.18
ph,talitay,6.9966669999999995,124.705278,83.03,92,12,0.92
ke,kericho,-0.3666667,35.283333299999995,47.07,92,0,4.72
ru,gorbatovka,56.257158999999994,43.745774,14,78,75,13.42
es,berja,36.847369,-2.9468389999999998,55.4,35,0,12.75
mx,dzemul,21.2,-89.3,75.2,78,90,6.93
ph,santa cecilia,14.1054,122.2016,78.8,94,20,1.14
at,gratkorn,47.133333,15.35,25.36,100,90,3.36
gd,grenville,12.116666699999998,-61.6166667,7.75,71,40,8.05
us,haines city,28.113888899999996,-81.6180556,63.05,77,1,11.41
ru,srostki,52.418889,85.70222199999999,-40.46,0,0,1.7
fr,illzach,47.780882,7.346624,41.76,93,90,5.82
ca,invermere,50.5,-116.03333300000001,14.4,79,20,1.59
mx,sarabia,20.509167,-101.0925,60.89,54,0,3.04
ru,lokomotivnyy,53.0118,60.5684,-23.09,34,8,5.95
jp,innoshima,34.283333,133.183333,36.36,100,75,3.36
ru,esso,55.933333,158.7,16.83,92,12,2.59
co,vijes,3.699335,-76.44230400000001,69.8,88,75,5.82
cl,castro,-42.463611,-73.80833299999999,52.02,100,64,3.6
ru,kuragino,53.8975,92.6725,-40.1,0,12,2.48
jp,minamiashigara,35.319466999999996,139.109597,42.87,23,1,12.75
us,new london,43.413888899999996,-71.9855556,16.29,78,1,4.61
pl,trzebiatow,54.059404,15.279376999999998,39.2,100,90,5.82
si,sostanj,46.38,15.0486111,31.1,97,90,6.93
ro,balanesti,45.066666999999995,23.4,15.35,84,20,0.58
hn,cedros,14.6,-87.1166667,67.1,77,75,11.41
us,san fernando,34.28194439999999,-118.43805559999998,66.2,52,0,3.36
us,erie,40.050277799999996,-105.04944440000001,43.61,42,1,20.8
ua,tayirove,46.363134,30.648909999999997,28.4,100,90,6.71
id,babat,-7.075,112.304,87.8,74,36,10.65
us,susanville,40.416388899999994,-120.65194440000002,33.8,64,1,3.36
fr,bezons,48.924257,2.212803,38.08,100,90,3.36
de,husum,54.466667,9.05,39.81,100,80,6.93
sz,hluti,-27.2166667,31.616666700000003,68.76,93,56,3.38
in,arkalgud,12.765,76.056944,63.9,75,0,7.07
es,bailen,38.096385999999995,-3.777855,32.99,89,0,7.07
es,alcala la real,37.461402,-3.9230129999999996,32,99,0,3.36
gt,el chol,14.964167000000002,-90.480556,60.8,87,75,18.34
in,mehndawal,26.975278000000003,83.11166700000001,53.1,89,0,4.16
gb,dronfield,53.3,-1.466667,37.65,93,0,9.17
no,skjold,59.516667000000005,5.5833330000000005,25.38,100,64,2.93
mx,cintalapa,16.733333,-93.716667,64.35,100,92,4.16
br,cacimba de dentro,-6.65,-35.783333,71.15,92,80,5.17
ru,zapadnaya dvina,56.259014,32.074540999999996,20.84,84,92,17.58
br,itabuna,-14.8,-39.266667,80.6,78,40,5.82
ru,pavlovo,55.968598,43.091202,14,78,75,13.42
jo,aydun,32.507222,35.8575,41,93,75,13.87
mx,cacaotepec,17.133333,-96.8,47.97,95,36,1.59
jp,ayabe,35.3,135.25,35.28,92,75,8.05
gr,lakkoma,40.3833333,23.05,35.6,74,20,3.36
cn,chaohu,31.6,117.86666699999999,24.8,92,90,8.95
cz,opava,49.93846,17.902628,32,80,75,2.24
cn,shaowu,27.340891,117.483096,42.3,99,92,1.48
us,greeley,40.423333299999996,-104.70861109999998,35.01,69,1,4.7
us,picayune,30.525277799999998,-89.67944440000001,59.45,82,75,4.7
fr,creteil,48.792660999999995,2.465694,37.67,93,40,3.36
ru,golynki,54.869638,31.386091999999998,17.06,80,88,17.02
ca,bay roberts,47.583333,-53.3,23,73,90,8.05
gr,galatista,40.466666700000005,23.283333300000002,35.6,74,20,3.36
hn,la esperanza,14.3,-88.1833333,68,100,90,9.17
mm,taungdwingyi,20.0166667,95.55,70.92,68,0,4.05
ro,negri,46.7,26.966666999999998,24.8,100,90,11.41
ru,sofrino,56.15,37.933333000000005,19.4,79,0,11.18
nz,waimana,-38.15,177.083333,71.24,94,24,2.37
cn,daliang,22.850416,113.247006,58.08,67,75,4.47
us,brownwood,31.7091667,-98.99083329999999,60.22,93,90,8.05
hr,sinj,43.7036111,16.639444400000002,46.4,81,20,3.36
ru,kalinino,45.086677,39.043556,3.11,77,0,10.65
ch,monthey,46.255457,6.960665,34.84,86,40,2.24
de,eckernforde,54.466667,9.833333,40.14,100,88,6.93
pt,sao joao da madeira,40.900956,-8.499744,43.9,93,0,4.7
mx,san pablo de las salinas,19.665833,-99.096389,53.17,55,90,4.7
fr,harfleur,49.511247999999995,0.192722,36.75,100,20,3.36
fr,lattes,43.567522,3.904604,42.82,87,92,12.75
pk,muzaffargarh,30.07537,71.19212900000001,46.4,100,90,3.04
ru,sumkino,58.11083299999999,68.324444,-4.23,68,76,11.54
it,massa marittima,43.05,10.883333,53.6,81,75,5.82
rs,pinosava,44.695278,20.480832999999997,30.2,80,0,5.82
gb,denton,53.45,-2.1166669999999996,62.6,82,90,11.41
ph,san juan,10.3865,122.8651,73.4,94,75,10.29
fr,le passage,45.531696999999994,5.505376,39.65,93,90,2.24
us,springdale,36.1866667,-94.12861109999999,53.6,76,90,9.17
us,plymouth,43.756944399999995,-71.68861109999999,33.8,98,0,1.12
it,fucecchio,43.733333,10.8,42.48,93,75,1.12
us,albany,44.6366667,-123.10472220000001,26.58,39,20,9.17
es,plasencia,43.173899,-2.411053,34.2,92,0,5.06
sz,bhunya,-26.55,31.016666700000002,64.53,98,92,2.59
fr,castres,43.604991999999996,2.243259,42.8,87,90,14.99
ph,dulangan,13.4685,120.9803,82.26,96,44,8.08
it,broni,45.066666999999995,9.266667,44.6,100,75,3.36
in,mandla,22.6,80.383333,49.05,62,0,2.93
it,corigliano calabro,39.6,16.516667,42.98,100,0,4.38
ru,togul,53.465,85.9128,-38.7,0,8,2.93
pk,berani,25.785004999999998,68.80685600000001,48.2,87,0,4.7
ro,bicaz chei,46.816666999999995,25.883333,12.6,93,32,2.04
cz,golcuv jenikov,49.816395,15.477345999999999,32,98,90,2.24
us,peterborough,42.8705556,-71.95222220000001,25.66,100,40,12.21
br,aracruz,-19.816667000000002,-40.266667,78.8,83,20,4.7
in,pipraich,26.826389000000002,83.53,53.1,89,0,4.16
us,nacogdoches,31.6033333,-94.6552778,61.38,77,90,9.17
ru,kandalaksha,67.162002,32.412287,15.8,78,64,2.71
mx,zitacuaro,19.4,-100.366667,53.33,83,68,3.15
pa,san miguel,8.457222199999999,-78.9369444,77.72,61,0,13.87
hu,okoritofulpos,47.918619,22.508095,32,87,32,2.24
pl,wegorzewo,54.21566899999999,21.737202,32.81,95,92,5.39
ro,bisoca,45.533333,26.7,17.28,83,56,2.93
ph,bangad,12.161249,123.40131000000001,78.8,100,90,21.61
br,pirpirituba,-6.766667,-35.5,73.4,88,75,11.41
it,concordia sagittaria,45.759444,12.840556,36.99,100,92,2.24
in,bodri,23.166667,81.43333299999999,51.35,63,0,3.38
es,roquetas de mar,36.764072,-2.615144,55.4,35,0,12.75
it,ferentino,41.7,13.25,51.1,76,75,6.93
in,barpeta,26.316667,91.0,57.2,93,20,3.36
us,shawnee,35.3272222,-96.925,53.33,87,90,14.99
sv,san marcos,13.658888899999999,-89.1830556,73.4,88,5,1.7
in,hospet,15.266667000000002,76.4,67.55,67,0,8.97
mz,xai-xai,-25.0519444,33.6441667,76.19,99,48,6.17
